本平台单号,三方单号,会员ID,上层代理,投注日期时间,投注金额,投注币种,派彩金额,派彩日期时间,会员输赢金额,游戏名称,游戏场馆,有效打码
2067100556981755904,6243482312869355722065062780082909184,2065062780082909184,aq1122,2026-06-17 00:22:27,0.06,USDT,0,2026-06-17 00:22:27,-0.06,Bombing Fishing,Jili FISH,0.06
2066902750502912000,178162298901735923260000004,2065183159992512512,a1760356615,2026-06-16 11:16:28,100,USDT,137.3,2026-06-17 02:12:00,37.3,足球,体育,37.3
2067138707758571520,6243633794688819402065062780082909184,2065062780082909184,aq1122,2026-06-17 02:53:36,0.02,USDT,0,2026-06-17 02:53:36,-0.02,Bombing Fishing,Jili FISH,0.02
2067138707867623424,6243634511578603722065062780082909184,2065062780082909184,aq1122,2026-06-17 02:53:39,0.16,USDT,0.18,2026-06-17 02:53:39,0.02,Bombing Fishing,Jili FISH,0.16
2067138707997646848,6243634562245796042065062780082909184,2065062780082909184,aq1122,2026-06-17 02:53:41,0.1,USDT,0,2026-06-17 02:53:41,-0.1,Bombing Fishing,Jili FISH,0.1
2067138708102504448,6243634588250480842065062780082909184,2065062780082909184,aq1122,2026-06-17 02:53:44,0.08,USDT,0,2026-06-17 02:53:44,-0.08,Bombing Fishing,Jili FISH,0.08
2067166965497651200,178168598301735923260042321,2065000455472738304,test01,2026-06-17 04:46:22,100,USDT,0,2026-06-17 04:51:00,-100,足球,体育,0
2067167886235459584,178168620201735923260042382,2065000455472738304,test01,2026-06-17 04:50:01,100,USDT,0,2026-06-17 04:52:00,-100,足球,体育,0
2067168225663705088,178168621101735923260052363,2065000455472738304,test01,2026-06-17 04:50:10,100,USDT,0,2026-06-17 04:53:00,-100,足球,体育,0
2067165477471838208,178168562501735923260062246,2065000455472738304,test01,2026-06-17 04:40:24,100,USDT,0,2026-06-17 04:54:00,-100,足球,体育,0
2067173026954797056,178168742401735923260042416,2065000874223661056,test01,2026-06-17 05:10:23,100,USDT,0,2026-06-17 05:16:00,-100,足球,体育,0
2067173805958684672,178168761201735923260002439,2065000874223661056,test01,2026-06-17 05:13:32,100,USDT,0,2026-06-17 05:17:00,-100,足球,体育,0
2067171283646865408,178168701201735923260082329,2065000455472738304,test01,2026-06-17 05:03:31,100,USDT,0,2026-06-17 05:18:00,-100,足球,体育,0
2067172187955585024,178168720001735923260022422,2065000455472738304,test01,2026-06-17 05:06:39,100,USDT,0,2026-06-17 05:24:00,-100,足球,体育,50
2067172503946059776,178168729501735923260052473,2065000455472738304,test01,2026-06-17 05:08:14,100,USDT,188.4,2026-06-17 06:23:00,88.4,足球,体育,88.4
2067196438799839232,2067194990353830400,2066899863253573632,a1760356615,2026-06-17 06:37:46,0.8,USDT,0.32,2026-06-17 06:37:49,-0.48,Mahjong Ways,PG,0.8
2067196438401380352,2067195008104069120,2066899863253573632,a1760356615,2026-06-17 06:37:51,0.8,USDT,0,2026-06-17 06:37:51,-0.8,Mahjong Ways,PG,0.8
2067196438099390464,2067195010809340416,2066899863253573632,a1760356615,2026-06-17 06:37:51,0.8,USDT,0,2026-06-17 06:37:52,-0.8,Mahjong Ways,PG,0.8
2067196438200053760,2067195012998883840,2066899863253573632,a1760356615,2026-06-17 06:37:52,0.8,USDT,0,2026-06-17 06:37:52,-0.8,Mahjong Ways,PG,0.8
2067196438300717056,2067195015267884032,2066899863253573632,a1760356615,2026-06-17 06:37:52,0.8,USDT,0,2026-06-17 06:37:53,-0.8,Mahjong Ways,PG,0.8
2067196438502043648,2067195017696486402,2066899863253573632,a1760356615,2026-06-17 06:37:53,0.8,USDT,0,2026-06-17 06:37:53,-0.8,Mahjong Ways,PG,0.8
2067196438602706944,2067195022578568192,2066899863253573632,a1760356615,2026-06-17 06:37:54,0.8,USDT,0,2026-06-17 06:37:54,-0.8,Mahjong Ways,PG,0.8
2067196438699175936,2067195027762820097,2066899863253573632,a1760356615,2026-06-17 06:37:55,0.8,USDT,2.4,2026-06-17 06:38:00,1.6,Mahjong Ways,PG,0.8
2067196689912819712,2067195055814287362,2066899863253573632,a1760356615,2026-06-17 06:38:02,0.8,USDT,0.16,2026-06-17 06:38:04,-0.64,Mahjong Ways,PG,0.8
2067196690013483008,2067195072813833729,2066899863253573632,a1760356615,2026-06-17 06:38:06,0.8,USDT,11.04,2026-06-17 06:39:01,10.24,Mahjong Ways,PG,0.8
2067196942179233792,2067195335461074944,2066899863253573632,a1760356615,2026-06-17 06:39:09,1,USDT,0,2026-06-17 06:39:09,-1,Mahjong Ways,PG,1
2067196943408164864,2067195338623604226,2066899863253573632,a1760356615,2026-06-17 06:39:09,1,USDT,0.2,2026-06-17 06:39:11,-0.8,Mahjong Ways,PG,1
2067196941361344512,2067195355539181056,2066899863253573632,a1760356615,2026-06-17 06:39:13,1,USDT,0,2026-06-17 06:39:14,-1,Mahjong Ways,PG,1
2067196941466202112,2067195358475269633,2066899863253573632,a1760356615,2026-06-17 06:39:14,1,USDT,0,2026-06-17 06:39:14,-1,Mahjong Ways,PG,1
2067196942279897088,2067195361549688320,2066899863253573632,a1760356615,2026-06-17 06:39:15,1,USDT,1,2026-06-17 06:39:17,0,Mahjong Ways,PG,1
2067196942888071168,2067195378570206720,2066899863253573632,a1760356615,2026-06-17 06:39:19,1,USDT,0,2026-06-17 06:39:19,-1,Mahjong Ways,PG,1
2067196942992928768,2067195381879433728,2066899863253573632,a1760356615,2026-06-17 06:39:20,1,USDT,0,2026-06-17 06:39:20,-1,Mahjong Ways,PG,1
2067196941566865408,2067195384828061184,2066899863253573632,a1760356615,2026-06-17 06:39:20,1,USDT,0.1,2026-06-17 06:39:22,-0.9,Mahjong Ways,PG,1
2067196942380560384,2067195401357811200,2066899863253573632,a1760356615,2026-06-17 06:39:24,1,USDT,0,2026-06-17 06:39:25,-1,Mahjong Ways,PG,1
2067196943508828160,2067195404822297088,2066899863253573632,a1760356615,2026-06-17 06:39:25,1,USDT,0.3,2026-06-17 06:39:27,-0.7,Mahjong Ways,PG,1
2067196941667528704,2067195422002189312,2066899863253573632,a1760356615,2026-06-17 06:39:29,1,USDT,0,2026-06-17 06:39:30,-1,Mahjong Ways,PG,1
2067196943609491456,2067195424904647168,2066899863253573632,a1760356615,2026-06-17 06:39:30,1,USDT,0,2026-06-17 06:39:30,-1,Mahjong Ways,PG,1
2067196941768192000,2067195427626741761,2066899863253573632,a1760356615,2026-06-17 06:39:31,1,USDT,0.5,2026-06-17 06:39:33,-0.5,Mahjong Ways,PG,1
